0;0;0;0;1.47262;0;0;0;7.44674;
0.05;3.01072e-05;0.00179505;0.0708929;1.36356;0.000149395;0.00885024;0.34499;6.36434;
0.1;0.000236325;0.00699955;0.136402;1.25725;0.00115035;0.0336255;0.637569;5.35002;
0.15;0.000782454;0.0153478;0.196664;1.15371;0.003735;0.0717896;0.881097;4.40201;
0.2;0.00181918;0.0265808;0.251818;1.05292;0.00851286;0.120972;1.07885;3.51858;
0.25;0.00348441;0.0404468;0.302002;0.954903;0.015979;0.178964;1.234;2.69799;
0.3;0.00590365;0.0567005;0.347355;0.859643;0.0265218;0.243714;1.34966;1.93848;
0.35;0.00919029;0.075104;0.388013;0.767144;0.0404313;0.313323;1.42884;1.23831;
0.4;0.013446;0.0954259;0.424115;0.677406;0.0579058;0.386039;1.47445;0.595739;
0.45;0.0187611;0.117442;0.455799;0.590429;0.0790601;0.460256;1.48934;0.00901753;
0.5;0.0252148;0.140934;0.483204;0.506214;0.103932;0.534507;1.47626;-0.523599;
0.55;0.0328757;0.165693;0.506467;0.424759;0.132489;0.60746;1.43786;-1.00386;
0.6;0.0418018;0.191514;0.525726;0.346066;0.164636;0.677914;1.37672;-1.4335;
0.65;0.0520415;0.218201;0.541119;0.270134;0.200221;0.744794;1.29532;-1.81427;
0.7;0.0636332;0.245564;0.552785;0.196963;0.23904;0.807148;1.19607;-2.14792;
0.75;0.0766062;0.27342;0.560862;0.126553;0.280846;0.864143;1.08129;-2.43619;
0.8;0.0909805;0.301593;0.565487;0.0589049;0.325353;0.915055;0.953182;-2.68083;
0.85;0.106768;0.329914;0.566798;-0.00598253;0.37224;0.959275;0.813902;-2.88357;
0.9;0.123972;0.35822;0.564934;-0.0681087;0.42116;0.996293;0.665494;-3.04618;
0.95;0.142587;0.386356;0.560033;-0.127474;0.471743;1.0257;0.509923;-3.17039;
1;0.162602;0.414175;0.552233;-0.184078;0.523599;1.0472;0.349066;-3.25795;
1.05;0.183997;0.441534;0.541672;-0.23792;0.576327;1.06055;0.18471;-3.3106;
1.1;0.206745;0.468298;0.528487;-0.289002;0.629516;1.06564;0.0185587;-3.33009;
1.15;0.230815;0.494341;0.512817;-0.337322;0.682752;1.06241;-0.147775;-3.31816;
1.2;0.256165;0.519541;0.494801;-0.382882;0.735619;1.05088;-0.312763;-3.27656;
