0;0;0;0;1.6;0;-3.6;0;0;0;
0.05;0;0;0;1.59565;-0.171;-3.24;0;0;0;
0.1;0;0;0;1.5832;-0.324;-2.88;0;0;0;
0.15;0;0;0;1.56355;-0.459;-2.52;0;0;0;
0.2;0;0;0;1.5376;-0.576;-2.16;0;0;0;
0.25;0;0;0;1.50625;-0.675;-1.8;0;0;0;
0.3;0;0;0;1.4704;-0.756;-1.44;0;0;0;
0.35;0;0;0;1.43095;-0.819;-1.08;0;0;0;
0.4;0;0;0;1.3888;-0.864;-0.72;0;0;0;
0.45;0;0;0;1.34485;-0.891;-0.36;0;0;0;
0.5;0;0;0;1.3;-0.9;-4.44089e-16;0;0;0;
0.55;0;0;0;1.25515;-0.891;0.36;0;0;0;
0.6;0;0;0;1.2112;-0.864;0.72;0;0;0;
0.65;0;0;0;1.16905;-0.819;1.08;0;0;0;
0.7;0;0;0;1.1296;-0.756;1.44;0;0;0;
0.75;0;0;0;1.09375;-0.675;1.8;0;0;0;
0.8;0;0;0;1.0624;-0.576;2.16;0;0;0;
0.85;0;0;0;1.03645;-0.459;2.52;0;0;0;
0.9;0;0;0;1.0168;-0.324;2.88;0;0;0;
0.95;0;0;0;1.00435;-0.171;3.24;0;0;0;
1;0;0;0;1;0;0;1.33227e-15;3.55271e-15;9.42478;
1.05;0;0;0;1;0;0;0.0113883;0.447677;8.4823;
1.1;0;0;0;1;0;0;0.0439823;0.84823;7.53982;
1.15;0;0;0;1;0;0;0.0954259;1.20166;6.59734;
1.2;0;0;0;1;0;0;0.163363;1.50796;5.65487;
1.25;0;0;0;1;0;0;0.245437;1.76715;4.71239;
1.3;0;0;0;1;0;0;0.339292;1.9792;3.76991;
1.35;0;0;0;1;0;0;0.442572;2.14414;2.82743;
1.4;0;0;0;1;0;0;0.55292;2.26195;1.88496;
1.45;0;0;0;1;0;0;0.667981;2.33263;0.942478;
1.5;0;0;0;1;0;0;0.785398;2.35619;-1.42109e-14;
1.55;0;0;0;1;0;0;0.902815;2.33263;-0.942478;
1.6;0;0;0;1;0;0;1.01788;2.26195;-1.88496;
1.65;0;0;0;1;0;0;1.12822;2.14414;-2.82743;
1.7;0;0;0;1;0;0;1.2315;1.9792;-3.76991;
1.75;0;0;0;1;0;0;1.32536;1.76715;-4.71239;
1.8;0;0;0;1;0;0;1.40743;1.50796;-5.65487;
1.85;0;0;0;1;0;0;1.47537;1.20166;-6.59734;
1.9;0;0;0;1;0;0;1.52681;0.84823;-7.53982;
1.95;0;0;0;1;0;0;1.55941;0.447677;-8.4823;
2;0;0;0;1;0;0;1.5708;0;0;
2.05;0;0;0;1;0;0;1.5708;0;0;
2.1;0;0;0;1;0;0;1.5708;0;0;
2.15;0;0;0;1;0;0;1.5708;0;0;
2.2;0;0;0;1;0;0;1.5708;0;0;
2.25;0;0;0;1;0;0;1.5708;0;0;
2.3;0;0;0;1;0;0;1.5708;0;0;
2.35;0;0;0;1;0;0;1.5708;0;0;
2.4;0;0;0;1;0;0;1.5708;0;0;
2.45;0;0;0;1;0;0;1.5708;0;0;
2.5;0;0;0;1;0;0;1.5708;0;0;
2.55;0;0;0;1;0;0;1.5708;0;0;
2.6;0;0;0;1;0;0;1.5708;0;0;
2.65;0;0;0;1;0;0;1.5708;0;0;
2.7;0;0;0;1;0;0;1.5708;0;0;
2.75;0;0;0;1;0;0;1.5708;0;0;
2.8;0;0;0;1;0;0;1.5708;0;0;
2.85;0;0;0;1;0;0;1.5708;0;0;
2.9;0;0;0;1;0;0;1.5708;0;0;
